customer_id,target_churn,target_ltv
C000001,0,556691
C000002,0,1460203
C000003,0,605476
C000004,0,1034150
C000006,1,76083.15
C000010,1,16507.75
C000011,0,2560300
C000012,0,363882
C000014,0,309288
C000015,0,1239454
C000016,0,897680
C000017,0,1733028
C000018,0,78482
C000019,0,1549157
C000020,0,19257
C000021,0,1030026
C000022,0,2135607
C000023,0,1617566
C000026,0,880904
C000027,1,25027.45
C000029,0,4158340
C000030,0,1775996
C000031,0,937637
C000032,0,1408795
C000033,0,72846
C000034,0,987799
C000037,0,975964
C000038,0,579642
C000039,0,1287293
C000041,0,153616
C000043,0,959947
C000044,0,337791
C000045,0,296437
C000046,0,1597095
C000047,0,823582
C000048,0,3284088
C000049,0,558266
C000050,0,1405295
C000051,0,1253568
C000052,0,2260592
C000053,1,77590.4
C000056,0,270836
C000057,0,506991
C000058,0,1015597
C000059,1,80183.6
C000060,0,1072625
C000061,0,822394
C000062,0,6928050
C000063,0,306480
C000064,0,1960765
C000065,0,1961814
C000066,0,1928386
C000067,0,675299
C000068,0,609635
C000069,1,61534.8
C000070,1,7950.2
C000072,0,192533
C000073,0,920836
C000074,0,268210
C000075,0,555918
C000077,0,748861
C000078,0,270863
C000079,0,3101659
C000080,0,1617835
C000082,0,4006477
C000083,0,386162
C000085,0,2090495
C000086,0,3073504
C000087,0,955327
C000090,0,60712
C000091,0,1511154
C000092,0,886030
C000093,0,4300543
C000094,0,3100
C000095,0,641308
C000097,0,246498
C000100,0,1021777
C000101,0,639740
C000106,0,1686482
C000108,0,1357729
C000109,0,1674497
C000112,1,16611.5
C000113,0,737436
C000114,0,46030
C000117,0,1029818
C000118,0,344584
C000119,0,32622
C000120,0,1478395
C000122,1,7837.2
C000124,0,8110
C000126,0,129044
C000127,0,70067
C000130,1,14955
C000131,0,52415
C000132,0,369622
C000133,0,1358309
C000134,0,2376793
C000137,0,233700
C000139,0,613171
C000140,0,234760
C000142,0,812904
C000144,0,897627
C000146,0,263197
C000147,0,89575
C000149,0,384189
C000153,0,815511
C000154,0,376742
C000155,0,1270135
C000156,0,1088161
C000158,0,3386443
C000160,1,17229.05
C000163,1,7181.5
C000164,0,684889
C000165,0,2051598
C000166,1,11332.5
C000167,0,812584
C000168,0,402495
C000169,0,3083930
C000170,0,1306584
C000172,0,1126044
C000174,0,502465
C000175,1,203331.15
C000178,0,55601
C000179,0,80395
C000182,0,2660854
C000184,0,1479118
C000185,0,2105894
C000186,1,769
C000189,0,497530
